CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,'Type de roche'
58.55,0.05,24.52,34.03,72,2,?,0,'R. Carbonatees AND R. Carbonatees impures'
55.92,0.08,23.54,32.38,89,6,?,1,'R. Carbonatees AND R. Carbonatees impures'
54.33,0.31,22.64,31.69,258,7,8,2,'R. Carbonatees AND R. Carbonatees impures'
53.28,0.05,22.16,31.12,139,6,?,4,'R. Carbonatees AND R. Carbonatees impures'
52.29,0.15,16.45,35.84,754,5,4,2,'R. Carbonatees AND R. Carbonatees impures'
51.88,0.14,21.42,30.46,341,4,?,2,'R. Carbonatees AND R. Carbonatees impures'
51.54,0.08,21.52,30.03,110,14,?,2,'R. Carbonatees AND R. Carbonatees impures'
51.53,0.26,21.54,29.99,728,6,?,2,'R. Carbonatees AND R. Carbonatees impures'
51.47,0.07,21.23,30.23,60,5,?,1,'R. Carbonatees AND R. Carbonatees impures'
51.29,0.24,21.12,30.17,449,7,?,2,'R. Carbonatees AND R. Carbonatees impures'
51.28,0.3,21.43,29.84,316,3,5,2,'R. Carbonatees AND R. Carbonatees impures'
51.22,0.16,21.53,29.69,56,5,?,2,'R. Carbonatees AND R. Carbonatees impures'
51.06,0.04,21.25,29.81,119,2,?,1,'R. Carbonatees AND R. Carbonatees impures'
50.93,0.4,20.8,30.13,841,4,?,5,'R. Carbonatees AND R. Carbonatees impures'
50.86,0.07,21.07,29.79,114,4,?,2,'R. Carbonatees AND R. Carbonatees impures'
50.74,0.06,21.3,29.44,357,123,?,3,'R. Carbonatees AND R. Carbonatees impures'
50.69,0.37,21.45,29.24,177,6,?,14,'R. Carbonatees AND R. Carbonatees impures'
50.36,0.09,21.08,29.28,102,3,?,1,'R. Carbonatees AND R. Carbonatees impures'
50.31,0.06,21.24,29.06,80,4,?,1,'R. Carbonatees AND R. Carbonatees impures'
50.12,0.22,21.08,29.04,401,5,?,2,'R. Carbonatees AND R. Carbonatees impures'
49.95,0.15,20.98,28.98,227,3,7,1,'R. Carbonatees AND R. Carbonatees impures'
49.9,0.09,20.66,29.24,107,9,11,3,'R. Carbonatees AND R. Carbonatees impures'
49.78,0.1,20.81,28.97,207,3,?,1,'R. Carbonatees AND R. Carbonatees impures'
49.73,0.07,20.56,29.17,194,4,5,5,'R. Carbonatees AND R. Carbonatees impures'
49.67,0.21,20.66,29.01,421,3,4,2,'R. Carbonatees AND R. Carbonatees impures'
49.57,0.06,20.5,29.06,166,1,?,2,'R. Carbonatees AND R. Carbonatees impures'
49.55,0.41,20.67,28.88,1463,37,?,3,'R. Carbonatees AND R. Carbonatees impures'
49.18,0.07,20.74,28.44,38,3,?,1,'R. Carbonatees AND R. Carbonatees impures'
49.13,0.27,20.69,28.45,300,3,7,2,'R. Carbonatees AND R. Carbonatees impures'
48.65,0.13,20.15,28.5,737,7,5,7,'R. Carbonatees AND R. Carbonatees impures'
48.65,0.43,20.4,28.24,230,33,113,12,'R. Carbonatees AND R. Carbonatees impures'
48.63,0.13,20.39,28.24,96,7,29,2,'R. Carbonatees AND R. Carbonatees impures'
48.55,0.3,19.77,28.78,224,16,13,1,'R. Carbonatees AND R. Carbonatees impures'
48.4,0.14,20.2,28.21,287,9,10,2,'R. Carbonatees AND R. Carbonatees impures'
48.37,0.05,20.28,28.09,173,3,?,?,'R. Carbonatees AND R. Carbonatees impures'
48.36,0.35,20.31,28.04,580,5,3,3,'R. Carbonatees AND R. Carbonatees impures'
48.17,0.1,20,28.17,79,3,?,1,'R. Carbonatees AND R. Carbonatees impures'
48.15,0.25,20.12,28.03,813,97,?,1,'R. Carbonatees AND R. Carbonatees impures'
48.15,0.09,20.13,28.02,167,6,?,1,'R. Carbonatees AND R. Carbonatees impures'
48.05,0.16,10.1,37.96,488,144,17,3,'R. Carbonatees AND R. Carbonatees impures'
47.83,0.03,20.33,27.5,61,2,?,?,'R. Carbonatees AND R. Carbonatees impures'
47.52,0.45,20,27.52,373,63,6,1,'R. Carbonatees AND R. Carbonatees impures'
47.52,0.07,19.98,27.54,62,7,5,1,'R. Carbonatees AND R. Carbonatees impures'
47.48,0.2,20.41,27.07,114,?,?,?,'R. Carbonatees AND R. Carbonatees impures'
47.42,0.03,19.78,27.64,80,5,?,12,'R. Carbonatees AND R. Carbonatees impures'
47.34,0.06,19.81,27.53,89,2,?,?,'R. Carbonatees AND R. Carbonatees impures'
47.04,0.19,19.59,27.45,233,5,?,3,'R. Carbonatees AND R. Carbonatees impures'
47.03,0.16,19.59,27.44,176,19,?,2,'R. Carbonatees AND R. Carbonatees impures'
46.96,0.07,19.57,27.39,141,4,?,1,'R. Carbonatees AND R. Carbonatees impures'
46.9,0.07,19.75,27.15,?,6,?,?,'R. Carbonatees AND R. Carbonatees impures'
46.89,0.32,19.59,27.3,1884,?,7,2,'R. Carbonatees AND R. Carbonatees impures'
46.79,0.15,19.36,27.43,275,4,?,3,'R. Carbonatees AND R. Carbonatees impures'
46.77,0.26,19.7,27.07,667,1,?,?,'R. Carbonatees AND R. Carbonatees impures'
46.76,0.16,19.44,27.33,93,2,11,1,'R. Carbonatees AND R. Carbonatees impures'
46.74,0.29,19.48,27.26,402,7,?,?,'R. Carbonatees AND R. Carbonatees impures'
46.53,0.25,19.59,26.93,790,4,?,2,'R. Carbonatees AND R. Carbonatees impures'
46.36,0.87,19,27.37,1273,36,32,2,'R. Carbonatees AND R. Carbonatees impures'
46.34,0.14,19.32,27.02,200,1,?,?,'R. Carbonatees AND R. Carbonatees impures'
46.24,0.26,19.3,26.94,836,1,?,1,'R. Carbonatees AND R. Carbonatees impures'
46.18,0.14,19.3,26.88,177,75,16,1,'R. Carbonatees AND R. Carbonatees impures'
46.12,0.17,19.26,26.86,631,2,7,?,'R. Carbonatees AND R. Carbonatees impures'
45.6,1.84,18.44,27.15,891,5,?,4,'R. Carbonatees AND R. Carbonatees impures'
45.53,0.4,9.06,36.47,1364,5,12,2,'R. Carbonatees AND R. Carbonatees impures'
45.49,0.23,18.86,26.63,?,3,?,2,'R. Carbonatees AND R. Carbonatees impures'
45.43,0.09,19.17,26.26,209,?,?,?,'R. Carbonatees AND R. Carbonatees impures'
44.78,0.08,18.8,25.98,297,60,?,2,'R. Carbonatees AND R. Carbonatees impures'
44.47,0.17,18.51,25.96,158,3,6,2,'R. Carbonatees AND R. Carbonatees impures'
44.12,0.23,18.42,25.7,630,3,?,3,'R. Carbonatees AND R. Carbonatees impures'
43.3,0.12,18.1,25.21,244,2,?,2,'R. Carbonatees AND R. Carbonatees impures'
43.14,0.24,18.52,24.62,1137,41,43,3,'R. Carbonatees AND R. Carbonatees impures'
42.83,0.16,17.78,25.05,842,5,6,7,'R. Carbonatees AND R. Carbonatees impures'
42.71,0.76,17.98,24.73,1154,3,?,4,'R. Carbonatees AND R. Carbonatees impures'
39.45,0.21,16.64,22.81,?,3,?,1,'R. Carbonatees AND R. Carbonatees impures'
38.01,0.42,15.78,22.23,1124,3,?,5,'R. Carbonatees AND R. Carbonatees impures'
30.18,0.28,12.75,17.43,391,3,8,2,'R. Carbonatees AND R. Carbonatees impures'
29.88,0.23,12.86,17.02,1288,188,?,2,'R. Carbonatees AND R. Carbonatees impures'
43.75,2.47,18.11,25.64,17101,5,?,2,'Not R. Carbonatees AND R. Carbonatees impures'
45.83,2.14,19.26,26.57,14285,25,7,2,'Not R. Carbonatees AND R. Carbonatees impures'
45.83,0.78,19.43,26.4,4318,7,?,4,'Not R. Carbonatees AND R. Carbonatees impures'
34.12,7.35,13.43,20.69,29649,10,26,201,'Not R. Carbonatees AND R. Carbonatees impures'
26.67,3.45,7.42,19.25,5726,14,2,7005,'Not R. Carbonatees AND R. Carbonatees impures'
31.48,15.95,9.08,22.4,29379,13,?,6407,'Not R. Carbonatees AND R. Carbonatees impures'
47.27,0.46,19.79,27.48,2158,1919,6112,3,'Not R. Carbonatees AND R. Carbonatees impures'
13.96,41.34,5.09,8.87,324570,13715,10617,42,'Not R. Carbonatees AND R. Carbonatees impures'
37.93,1.84,15.83,22.1,16244,31969,106331,302,'Not R. Carbonatees AND R. Carbonatees impures'
43.11,0.52,17.95,25.16,1632,2314,6,6,'Not R. Carbonatees AND R. Carbonatees impures'
49.08,0.35,20.63,28.45,791,2477,6,2,'Not R. Carbonatees AND R. Carbonatees impures'
43.19,1.7,18.09,25.1,13165,12521,5277,22,'Not R. Carbonatees AND R. Carbonatees impures'
3.63,15.59,2.77,0.86,3321,25,7,9,'Not R. Carbonatees AND R. Carbonatees impures'
3.17,0.67,2.82,0.34,2888,111,21,51,'Not R. Carbonatees AND R. Carbonatees impures'
0.64,25.82,0.6,0.05,209851,23,76,331,'Not R. Carbonatees AND R. Carbonatees impures'
2,5.95,1.9,0.1,38791,73,27,96,'Not R. Carbonatees AND R. Carbonatees impures'
2.34,3.37,1.59,0.76,13769,11,11,5,'Not R. Carbonatees AND R. Carbonatees impures'
24.67,3.09,11.06,13.61,275,37,?,4,'Not R. Carbonatees AND R. Carbonatees impures'
2.08,0.58,1.07,1.01,184,13,7,2,'Not R. Carbonatees AND R. Carbonatees impures'
0.48,0.98,0.42,0.06,652,10,6,288,'Not R. Carbonatees AND R. Carbonatees impures'
39.43,0.58,16.6,22.84,314,9,?,5,'Not R. Carbonatees AND R. Carbonatees impures'
33.8,1.16,5.13,28.67,1222,16,3,5,'R. Carbonatees AND R. Carbonatees impures'
